Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
361,Clustered,astar_dynamic,0.1,28,12.83,Yes
362,Clustered,astar_dynamic,0.1,16,18.31,Yes
363,Clustered,astar_dynamic,0.0,11,11.24,Yes
364,Clustered,astar_dynamic,0.1,59,15.07,Yes
365,Clustered,astar_dynamic,0.1,6,7.07,Yes
366,Clustered,astar_dynamic,0.1,15,16.9,Yes
367,Clustered,astar_dynamic,0.2,14,16.73,Yes
368,Clustered,astar_dynamic,0.1,14,15.07,Yes
369,Clustered,astar_dynamic,0.2,20,11.83,Yes
370,Clustered,astar_dynamic,0.2,62,27.31,Yes
371,Clustered,astar_dynamic,0.2,37,18.07,Yes
372,Clustered,astar_dynamic,0.1,13,12.24,Yes
373,Clustered,astar_dynamic,0.0,8,8.24,Yes
374,Clustered,astar_dynamic,0.2,13,14.49,Yes
375,Clustered,astar_dynamic,0.2,43,18.66,Yes
376,Clustered,astar_dynamic,0.3,69,16.07,Yes
377,Clustered,astar_dynamic,0.1,28,15.66,Yes
378,Clustered,astar_dynamic,0.2,35,14.66,Yes
379,Clustered,astar_dynamic,0.1,12,11.0,Yes
380,Clustered,astar_dynamic,0.2,11,11.24,Yes
381,Clustered,astar_dynamic,0.3,131,19.66,Yes
382,Clustered,astar_dynamic,0.1,7,7.66,Yes
383,Clustered,astar_dynamic,0.1,17,16.07,Yes
384,Clustered,astar_dynamic,0.1,16,11.66,Yes
385,Clustered,astar_dynamic,0.1,10,9.41,Yes
386,Clustered,astar_dynamic,0.1,46,24.24,Yes
387,Clustered,astar_dynamic,0.0,35,12.24,Yes
389,Clustered,astar_dynamic,0.1,11,12.9,Yes
390,Clustered,astar_dynamic,0.4,93,25.07,Yes
391,Clustered,astar_dynamic,0.3,44,19.07,Yes
392,Clustered,astar_dynamic,0.1,9,10.49,Yes
393,Clustered,astar_dynamic,0.1,9,8.0,Yes
394,Clustered,astar_dynamic,0.1,19,10.41,Yes
395,Clustered,astar_dynamic,0.2,15,16.49,Yes
396,Clustered,astar_dynamic,0.1,9,8.83,Yes
397,Clustered,astar_dynamic,0.1,19,15.83,Yes
398,Clustered,astar_dynamic,0.3,64,32.31,Yes
399,Clustered,astar_dynamic,0.1,13,13.49,Yes
401,Clustered,astar_dynamic,0.2,12,11.41,Yes
402,Clustered,astar_dynamic,0.1,11,13.73,Yes
403,Clustered,astar_dynamic,0.2,16,15.83,Yes
404,Clustered,astar_dynamic,0.1,17,16.66,Yes
406,Clustered,astar_dynamic,0.2,39,18.66,Yes
407,Clustered,astar_dynamic,0.1,20,18.31,Yes
408,Clustered,astar_dynamic,0.1,17,20.14,Yes
409,Clustered,astar_dynamic,0.1,7,8.07,Yes
410,Clustered,astar_dynamic,0.1,10,11.9,Yes
411,Clustered,astar_dynamic,0.2,71,19.66,Yes
412,Clustered,astar_dynamic,0.2,28,14.83,Yes
413,Clustered,astar_dynamic,0.1,9,8.83,Yes
414,Clustered,astar_dynamic,0.2,18,17.41,Yes
415,Clustered,astar_dynamic,0.1,14,13.83,Yes
416,Clustered,astar_dynamic,0.1,10,9.83,Yes
417,Clustered,astar_dynamic,0.3,10,10.24,Yes
418,Clustered,astar_dynamic,0.1,14,15.73,Yes
419,Clustered,astar_dynamic,0.2,56,23.07,Yes
421,Clustered,astar_dynamic,0.1,13,15.31,Yes
422,Clustered,astar_dynamic,0.3,31,12.66,Yes
423,Clustered,astar_dynamic,0.3,79,20.24,Yes
424,Clustered,astar_dynamic,0.2,15,16.9,Yes
425,Clustered,astar_dynamic,0.2,11,8.24,Yes
426,Clustered,astar_dynamic,0.1,9,10.49,Yes
430,Clustered,astar_dynamic,0.2,31,13.49,Yes
431,Clustered,astar_dynamic,0.2,23,15.07,Yes
432,Clustered,astar_dynamic,0.2,16,14.07,Yes
434,Clustered,astar_dynamic,0.2,47,23.66,Yes
435,Clustered,astar_dynamic,0.2,17,13.24,Yes
436,Clustered,astar_dynamic,0.3,19,17.41,Yes
437,Clustered,astar_dynamic,0.1,17,15.49,Yes
438,Clustered,astar_dynamic,0.1,9,10.49,Yes
440,Clustered,astar_dynamic,0.3,12,12.66,Yes
443,Clustered,astar_dynamic,0.1,9,10.07,Yes
444,Clustered,astar_dynamic,0.2,38,16.24,Yes
445,Clustered,astar_dynamic,0.1,8,8.66,Yes
446,Clustered,astar_dynamic,0.1,12,13.07,Yes
