Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
181,Maze,astar_dynamic,0.2,22,13.0,Yes
182,Maze,astar_dynamic,0.5,48,19.0,Yes
183,Maze,astar_dynamic,0.3,122,42.41,Yes
184,Maze,astar_dynamic,0.5,133,49.83,Yes
185,Maze,astar_dynamic,0.4,68,40.83,Yes
186,Maze,astar_dynamic,0.2,60,24.41,Yes
187,Maze,astar_dynamic,0.3,30,21.0,Yes
188,Maze,astar_dynamic,0.4,63,45.24,Yes
189,Maze,astar_dynamic,0.1,71,33.83,Yes
190,Maze,astar_dynamic,0.4,95,38.0,Yes
191,Maze,astar_dynamic,0.3,34,16.0,Yes
192,Maze,astar_dynamic,0.5,163,41.83,Yes
193,Maze,astar_dynamic,0.5,115,44.0,Yes
194,Maze,astar_dynamic,0.2,111,33.0,Yes
195,Maze,astar_dynamic,0.2,73,44.41,Yes
196,Maze,astar_dynamic,0.3,28,19.0,Yes
197,Maze,astar_dynamic,0.2,111,53.41,Yes
198,Maze,astar_dynamic,0.5,160,64.0,Yes
199,Maze,astar_dynamic,0.4,28,18.0,Yes
200,Maze,astar_dynamic,0.1,18,14.0,Yes
201,Maze,astar_dynamic,0.5,62,27.41,Yes
202,Maze,astar_dynamic,0.2,21,12.0,Yes
203,Maze,astar_dynamic,0.2,61,31.41,Yes
204,Maze,astar_dynamic,0.2,43,19.0,Yes
205,Maze,astar_dynamic,0.2,41,15.83,Yes
206,Maze,astar_dynamic,0.6,112,40.0,Yes
207,Maze,astar_dynamic,0.2,20,11.0,Yes
208,Maze,astar_dynamic,0.2,85,36.0,Yes
209,Maze,astar_dynamic,0.2,135,45.0,Yes
210,Maze,astar_dynamic,0.3,52,26.0,Yes
211,Maze,astar_dynamic,0.3,65,33.0,Yes
212,Maze,astar_dynamic,0.4,54,26.0,Yes
214,Maze,astar_dynamic,0.4,162,46.83,Yes
215,Maze,astar_dynamic,0.1,27,14.41,Yes
216,Maze,astar_dynamic,0.1,37,15.41,Yes
217,Maze,astar_dynamic,0.1,11,10.0,Yes
218,Maze,astar_dynamic,0.4,98,41.41,Yes
219,Maze,astar_dynamic,0.2,31,19.83,Yes
220,Maze,astar_dynamic,0.7,150,74.83,Yes
221,Maze,astar_dynamic,0.2,46,17.41,Yes
222,Maze,astar_dynamic,0.2,22,13.0,Yes
223,Maze,astar_dynamic,0.3,14,11.0,Yes
224,Maze,astar_dynamic,0.3,110,38.41,Yes
225,Maze,astar_dynamic,0.2,142,73.83,Yes
226,Maze,astar_dynamic,0.5,171,63.83,Yes
227,Maze,astar_dynamic,0.1,23,22.41,Yes
228,Maze,astar_dynamic,0.2,47,19.0,Yes
229,Maze,astar_dynamic,0.5,97,29.0,Yes
230,Maze,astar_dynamic,0.2,66,26.41,Yes
231,Maze,astar_dynamic,0.5,118,40.83,Yes
232,Maze,astar_dynamic,0.2,112,33.0,Yes
233,Maze,astar_dynamic,0.3,151,36.24,Yes
234,Maze,astar_dynamic,0.3,18,13.0,Yes
235,Maze,astar_dynamic,0.1,54,19.0,Yes
236,Maze,astar_dynamic,0.2,53,24.0,Yes
237,Maze,astar_dynamic,0.3,156,43.0,Yes
238,Maze,astar_dynamic,0.2,17,12.0,Yes
239,Maze,astar_dynamic,0.6,184,57.0,Yes
240,Maze,astar_dynamic,0.4,172,49.41,Yes
241,Maze,astar_dynamic,0.4,192,50.0,Yes
242,Maze,astar_dynamic,0.3,52,33.41,Yes
243,Maze,astar_dynamic,0.9,41,22.83,Yes
244,Maze,astar_dynamic,0.3,23,14.0,Yes
245,Maze,astar_dynamic,0.5,12,11.0,Yes
246,Maze,astar_dynamic,0.4,133,32.41,Yes
247,Maze,astar_dynamic,0.4,91,37.0,Yes
248,Maze,astar_dynamic,0.3,117,46.41,Yes
249,Maze,astar_dynamic,0.2,20,12.0,Yes
250,Maze,astar_dynamic,0.3,76,29.41,Yes
251,Maze,astar_dynamic,0.4,49,19.41,Yes
252,Maze,astar_dynamic,0.3,115,39.0,Yes
253,Maze,astar_dynamic,0.2,65,34.66,Yes
254,Maze,astar_dynamic,0.4,122,30.41,Yes
255,Maze,astar_dynamic,0.3,95,35.83,Yes
256,Maze,astar_dynamic,0.3,54,21.83,Yes
257,Maze,astar_dynamic,0.4,29,16.0,Yes
258,Maze,astar_dynamic,0.3,39,24.0,Yes
259,Maze,astar_dynamic,0.1,37,26.83,Yes
260,Maze,astar_dynamic,0.2,52,31.0,Yes
261,Maze,astar_dynamic,0.3,35,23.0,Yes
262,Maze,astar_dynamic,0.8,186,65.83,Yes
263,Maze,astar_dynamic,0.5,103,46.0,Yes
264,Maze,astar_dynamic,0.6,39,19.0,Yes
265,Maze,astar_dynamic,0.2,45,18.41,Yes
266,Maze,astar_dynamic,0.2,72,31.24,Yes
267,Maze,astar_dynamic,0.2,24,15.41,Yes
268,Maze,astar_dynamic,0.3,65,27.41,Yes
269,Maze,astar_dynamic,0.2,74,28.0,Yes
270,Maze,astar_dynamic,0.1,15,10.0,Yes
271,Maze,astar_dynamic,0.1,21,16.0,Yes
272,Maze,astar_dynamic,0.6,48,26.83,Yes
273,Maze,astar_dynamic,0.2,30,16.41,Yes
274,Maze,astar_dynamic,0.3,96,57.83,Yes
275,Maze,astar_dynamic,0.5,174,43.0,Yes
276,Maze,astar_dynamic,0.5,116,40.41,Yes
277,Maze,astar_dynamic,0.6,201,40.83,Yes
278,Maze,astar_dynamic,0.2,49,26.41,Yes
280,Maze,astar_dynamic,0.3,11,10.0,Yes
281,Maze,astar_dynamic,0.1,76,30.41,Yes
282,Maze,astar_dynamic,0.6,147,45.41,Yes
283,Maze,astar_dynamic,0.2,33,20.41,Yes
284,Maze,astar_dynamic,0.5,40,18.24,Yes
285,Maze,astar_dynamic,0.3,96,44.41,Yes
286,Maze,astar_dynamic,0.3,30,15.41,Yes
287,Maze,astar_dynamic,0.6,78,26.0,Yes
288,Maze,astar_dynamic,0.4,25,16.0,Yes
289,Maze,astar_dynamic,0.2,118,38.0,Yes
290,Maze,astar_dynamic,0.3,14,10.0,Yes
291,Maze,astar_dynamic,0.1,23,17.0,Yes
292,Maze,astar_dynamic,0.3,23,19.0,Yes
293,Maze,astar_dynamic,0.5,127,38.41,Yes
295,Maze,astar_dynamic,0.3,105,35.0,Yes
296,Maze,astar_dynamic,0.4,127,46.0,Yes
297,Maze,astar_dynamic,0.3,12,9.0,Yes
298,Maze,astar_dynamic,0.3,47,23.0,Yes
299,Maze,astar_dynamic,0.5,76,25.0,Yes
300,Maze,astar_dynamic,0.6,107,41.83,Yes
301,Maze,astar_dynamic,0.3,35,25.24,Yes
302,Maze,astar_dynamic,0.7,187,46.0,Yes
303,Maze,astar_dynamic,0.3,36,19.41,Yes
304,Maze,astar_dynamic,0.5,44,23.41,Yes
305,Maze,astar_dynamic,0.4,104,38.41,Yes
306,Maze,astar_dynamic,0.2,13,12.41,Yes
307,Maze,astar_dynamic,0.4,142,42.41,Yes
308,Maze,astar_dynamic,0.3,30,15.41,Yes
309,Maze,astar_dynamic,0.4,89,28.24,Yes
310,Maze,astar_dynamic,0.3,25,13.0,Yes
311,Maze,astar_dynamic,0.4,87,33.41,Yes
312,Maze,astar_dynamic,0.1,51,24.41,Yes
313,Maze,astar_dynamic,0.1,53,22.0,Yes
314,Maze,astar_dynamic,0.1,23,16.83,Yes
315,Maze,astar_dynamic,0.5,42,23.41,Yes
316,Maze,astar_dynamic,0.5,64,29.0,Yes
317,Maze,astar_dynamic,0.4,136,30.41,Yes
318,Maze,astar_dynamic,0.4,99,27.41,Yes
319,Maze,astar_dynamic,0.4,83,31.0,Yes
320,Maze,astar_dynamic,0.4,23,14.0,Yes
321,Maze,astar_dynamic,1.1,186,47.0,Yes
322,Maze,astar_dynamic,0.1,25,17.0,Yes
323,Maze,astar_dynamic,0.2,24,18.83,Yes
324,Maze,astar_dynamic,0.4,52,20.0,Yes
325,Maze,astar_dynamic,0.3,41,25.83,Yes
326,Maze,astar_dynamic,0.4,101,56.0,Yes
327,Maze,astar_dynamic,0.1,18,13.83,Yes
328,Maze,astar_dynamic,0.2,42,20.0,Yes
329,Maze,astar_dynamic,0.2,39,15.0,Yes
330,Maze,astar_dynamic,0.3,64,24.0,Yes
331,Maze,astar_dynamic,0.4,109,25.0,Yes
332,Maze,astar_dynamic,0.3,61,27.0,Yes
333,Maze,astar_dynamic,0.5,84,25.0,Yes
334,Maze,astar_dynamic,0.4,84,41.0,Yes
335,Maze,astar_dynamic,0.3,84,48.24,Yes
336,Maze,astar_dynamic,0.7,78,23.0,Yes
337,Maze,astar_dynamic,0.3,31,17.0,Yes
338,Maze,astar_dynamic,0.3,51,19.0,Yes
